region,annual_rainfall_mm,seasonal_rainfall_mm,cloud_visibility_km,humidity_percent,temperature_c,days_continuous_rainfall,river_discharge_cumecs,flood_occurred
Patna,2099.5,1315.5,7.76,74.7,24.9,6.4,3834.7,0
Lucknow,3111.6,2663.1,4.35,68.6,27.1,11.1,6674.1,1
Lucknow,1915.2,1617.4,6.05,56.6,29.7,3.9,3889.1,1
Kolkata,3391.1,2019.8,4.28,80.3,37.1,6.2,5525.2,1
Guwahati,1915.4,1446.8,6.34,75.3,24.2,4.3,3634.3,1
Lucknow,1814.6,1540.2,7.83,70.5,35.6,4.8,4572.7,1
Kolkata,968.4,770.0,6.55,64.3,28.2,0.2,2294.6,0
Lucknow,2521.9,1848.1,4.44,77.1,28.9,7.8,4503.9,1
Guwahati,1473.6,764.3,7.08,67.2,33.9,1.4,2353.2,0
Varanasi,1379.4,666.1,7.54,59.2,37.1,2.2,2279.8,0
Guwahati,2632.8,1912.9,5.15,78.1,30.7,8.9,4749.3,1
Chennai,2552.8,1723.5,6.65,68.5,33.7,7.4,4792.2,1
Surat,2535.8,1412.8,6.81,69.3,25.3,3.9,4025.0,1
Chennai,1564.6,910.2,7.51,64.4,26.9,5.4,3535.2,0
Chennai,1766.9,1106.8,7.3,59.9,23.6,5.3,3867.0,1
Kurnool,1761.1,1185.2,7.5,61.3,26.9,2.9,4234.9,0
Chennai,2308.6,1444.3,4.38,81.5,31.3,4.2,3904.6,1
Kolkata,2809.8,1754.1,6.71,65.5,29.8,8.4,5181.7,1
Surat,2039.3,1023.9,6.27,66.5,35.9,5.3,3032.6,0
Patna,3083.7,2588.8,3.15,81.9,37.2,6.4,6978.5,1
Kolkata,2383.2,1725.7,5.97,70.3,28.5,4.2,4058.9,1
Kurnool,1647.4,849.6,7.49,66.7,26.3,4.5,3601.3,0
Surat,2338.7,1498.5,6.64,70.5,33.6,3.1,4551.3,1
Chennai,2908.9,1854.5,5.46,66.6,34.1,8.3,4823.6,1
Surat,3098.9,2232.1,4.13,78.4,30.8,12.0,6667.3,1
Kolkata,2571.5,1861.7,6.97,68.6,31.8,7.5,5232.9,1
Surat,1816.7,1345.0,7.23,77.6,31.2,3.0,3419.4,1
Kolkata,1659.1,1267.7,6.96,69.1,25.0,4.9,3621.0,0
Kurnool,2174.4,1079.6,7.82,60.6,24.1,6.0,3567.2,1
Lucknow,2888.1,1695.9,4.88,72.4,28.8,6.3,4758.0,1
Chennai,2081.9,953.1,9.73,58.1,28.2,4.4,3643.8,0
Patna,2095.4,1371.7,5.2,69.0,30.1,3.4,3902.0,1
Patna,1833.4,1179.3,6.95,64.3,28.5,2.8,2953.9,0
Lucknow,1586.9,1238.5,6.38,61.3,22.2,6.3,4082.6,1
Bhubaneswar,1694.6,890.0,7.13,58.0,20.6,1.8,1919.0,0
Bhubaneswar,1888.0,1386.1,5.86,82.2,31.9,0.0,3140.4,1
Kurnool,2916.8,1715.1,4.77,71.1,26.3,5.6,4443.2,1
Chennai,1644.2,1022.5,8.49,61.7,28.1,4.3,3423.7,0
Kolkata,1834.2,1419.1,4.96,64.2,26.8,7.3,4933.7,1
Kurnool,1237.5,596.7,9.23,63.2,25.3,5.5,2615.6,0
Surat,2265.8,1369.1,7.11,63.6,25.2,5.1,3735.5,1
Surat,2688.3,1683.2,5.27,63.7,33.1,7.4,4440.3,1
Varanasi,2855.9,2205.0,5.09,74.8,28.0,8.2,6090.7,1
Patna,1932.2,1042.7,6.97,64.2,31.5,4.5,3137.3,1
Surat,2173.3,1904.6,3.98,69.7,32.1,6.5,4810.2,1
Lucknow,1700.2,1528.5,4.84,63.5,30.3,6.3,4689.0,1
Kurnool,2143.2,1754.2,6.25,68.5,32.2,4.9,5012.9,1
Varanasi,2004.1,1172.1,7.51,62.8,29.1,8.2,3510.9,0
Varanasi,1837.9,1376.1,6.65,63.8,34.5,0.2,2702.7,0
Lucknow,1889.5,921.0,6.98,65.0,32.3,4.5,2956.1,0
Bhubaneswar,2093.7,1763.1,5.3,84.3,32.8,7.0,4360.7,1
Lucknow,1608.8,1097.5,6.66,72.9,25.2,4.7,2831.0,0
Lucknow,1642.4,869.5,5.61,74.5,30.1,0.8,2042.9,0
Kolkata,2909.8,1738.1,5.63,67.3,21.7,2.9,4700.2,1
Surat,3561.9,2886.3,3.54,91.2,34.6,11.7,7655.8,1
Surat,1017.2,856.0,7.64,64.1,26.5,5.8,4017.9,0
Bhubaneswar,981.3,671.1,9.93,67.0,27.1,2.9,2095.9,0
Guwahati,1177.9,784.6,6.62,64.9,23.5,4.5,3278.6,0
Varanasi,1732.9,1365.2,5.68,65.3,28.9,4.0,3938.4,1
Lucknow,2382.3,1957.7,5.21,77.1,27.9,7.8,5032.1,1
Bhubaneswar,2184.3,1734.7,5.84,73.6,36.3,8.7,4912.3,1
Kochi,1911.8,1191.0,4.71,55.2,32.4,3.7,3162.0,1
Kochi,2143.8,1584.0,6.58,68.6,26.9,8.1,4727.9,1
Surat,1350.1,1128.5,7.22,70.5,22.3,0.8,3324.3,0
Bhubaneswar,1641.3,850.7,5.24,64.4,19.9,1.9,2406.5,0
Lucknow,1786.9,1116.2,6.84,67.9,24.9,5.1,3764.9,0
Bhubaneswar,770.3,366.2,7.78,53.8,23.7,5.1,2583.6,0
Kolkata,1045.1,662.6,7.5,62.5,30.4,2.4,2881.8,0
Kolkata,1071.0,854.1,6.09,62.2,28.4,1.0,1991.5,0
Lucknow,2296.7,1237.1,7.16,65.0,29.1,8.2,3996.3,1
Kochi,1959.5,1359.6,8.36,63.2,25.2,4.7,4091.9,0
Chennai,2197.2,1024.9,7.47,69.8,29.6,5.0,2815.3,0
Surat,604.2,516.0,5.96,61.7,23.3,1.2,1349.0,0
Bhubaneswar,835.7,684.4,8.26,62.7,28.6,2.8,2353.1,0
Varanasi,2231.1,1530.5,5.82,81.2,32.3,4.4,3920.2,1
Kochi,300.0,230.3,7.77,59.9,27.5,5.3,1787.5,0
Chennai,2596.0,1289.6,6.97,73.9,30.8,7.1,3779.3,1
Kurnool,614.8,510.5,9.31,61.3,21.1,5.4,3229.2,0
Lucknow,2348.2,1812.5,4.66,69.3,20.8,5.0,4476.6,1
Surat,1222.4,616.1,6.3,54.2,30.3,0.0,2143.2,0
Surat,2481.8,2212.0,2.28,76.5,33.2,7.4,5880.6,1
Chennai,3885.3,1787.8,4.72,55.2,28.0,11.5,4723.7,1
Patna,322.4,236.3,8.79,58.8,37.6,0.2,1837.3,0
Chennai,2252.0,1187.5,6.24,67.6,23.2,6.4,3956.5,1
Lucknow,624.7,483.3,7.65,58.1,26.3,0.0,1732.7,0
Kochi,2077.4,1000.6,7.86,63.5,29.6,2.0,3260.2,0
Guwahati,1665.6,810.3,8.17,54.8,30.9,2.8,2572.6,0
Kochi,1884.4,1243.4,6.9,74.6,26.7,8.7,4437.7,1
Guwahati,1207.4,1083.4,7.94,62.8,24.8,6.1,2734.8,0
Kochi,2307.4,1325.4,5.78,61.2,31.5,0.7,3596.3,0
Bhubaneswar,858.6,623.0,6.89,63.9,29.5,3.6,2425.8,0
Guwahati,2607.1,1781.6,4.89,71.8,27.6,4.2,4585.5,1
Lucknow,1534.0,1271.6,5.97,64.4,31.0,3.2,3141.3,0
Patna,888.3,515.1,6.08,56.9,28.5,2.9,1986.0,0
Varanasi,2836.7,1984.9,4.4,72.9,28.4,10.0,5472.2,1
Lucknow,1756.2,1541.6,7.22,77.0,28.3,8.3,4113.3,1
Patna,3040.0,1823.0,6.25,74.3,25.7,7.3,5096.8,1
Chennai,2593.9,1680.1,6.27,70.0,25.3,6.8,5267.0,1
Guwahati,1281.2,1089.0,7.18,70.0,26.9,6.6,2988.2,0
Kurnool,1744.8,1046.2,8.72,64.6,29.1,0.6,2956.0,0
Kolkata,1878.7,1167.2,5.69,68.0,21.5,7.9,3678.9,1
Varanasi,2792.1,1638.6,4.73,70.7,32.8,4.5,4070.8,1
Guwahati,2084.4,1697.3,6.89,73.9,29.1,6.7,4685.5,1
Patna,1914.6,1663.2,5.76,67.4,24.7,5.0,4433.7,1
Guwahati,1670.1,1225.8,5.99,59.3,35.5,2.1,3335.9,0
Kochi,1767.1,1291.1,7.18,72.1,29.2,5.6,3343.8,0
Patna,2648.0,1656.3,5.27,79.0,23.7,6.5,4994.3,1
Kochi,1802.4,821.2,6.72,55.9,35.3,2.8,2642.4,0
Chennai,1543.3,815.3,6.7,63.5,34.4,2.6,2822.8,0
Guwahati,1433.1,740.0,8.18,59.0,25.4,5.7,3305.7,0
Varanasi,1440.1,723.1,8.09,66.9,27.7,7.0,2173.8,0
Lucknow,888.6,661.4,9.67,62.5,27.2,4.9,2831.0,0
Lucknow,1312.3,671.0,7.66,81.0,21.4,3.0,2300.5,0
Guwahati,2774.0,1355.2,6.09,65.5,30.3,1.6,3843.2,1
Lucknow,1665.7,1036.3,8.74,73.6,32.4,5.0,2946.0,0
Varanasi,2257.9,1269.1,7.71,76.3,31.6,5.9,4171.3,0
Guwahati,300.0,154.7,9.31,59.6,29.1,2.1,908.8,0
Lucknow,2169.4,1118.9,5.25,65.4,32.8,1.8,3187.5,1
Kochi,1695.1,958.2,6.44,64.2,24.5,5.2,3259.2,0
Lucknow,1487.1,1028.4,6.01,64.4,36.3,6.8,3410.9,1
Surat,1917.6,1517.1,6.1,75.5,25.9,3.5,3541.8,1
Varanasi,1477.7,1232.0,6.15,60.9,26.4,5.8,3570.2,0
Guwahati,419.5,330.6,10.0,57.0,26.7,0.0,1764.2,0
Kochi,2399.5,1758.1,3.79,69.2,26.4,6.2,5299.0,1
Patna,1958.0,1680.8,4.42,59.9,28.2,4.2,5110.2,1
Patna,1595.9,1091.4,7.3,70.0,28.1,3.3,3365.7,0
Kochi,1172.0,861.4,8.12,69.2,29.5,2.4,2743.3,0
Kochi,844.6,536.5,5.44,56.1,25.7,2.8,2277.5,0
Guwahati,1945.5,1162.1,4.96,71.7,29.7,6.0,4382.2,1
Lucknow,2848.7,1707.2,5.34,61.0,24.6,8.6,5115.3,1
Chennai,1932.1,998.4,8.73,64.2,31.9,2.3,2909.6,0
Varanasi,901.2,728.6,9.93,60.8,31.9,3.4,2404.5,0
Lucknow,1946.3,924.3,6.95,63.9,29.0,1.2,2538.2,0
Guwahati,1765.3,1330.4,6.3,67.5,26.4,4.6,3901.1,1
Kurnool,2361.6,1981.4,4.09,72.5,30.2,7.3,4937.7,1
Surat,2194.4,1478.7,6.85,66.1,25.4,3.5,3632.5,0
Surat,300.0,144.5,10.0,55.7,29.1,1.6,1231.5,0
Patna,2154.4,1384.8,7.75,75.7,28.4,4.7,3676.6,0
Lucknow,1147.7,693.8,7.9,57.8,39.5,2.8,2626.0,0
Chennai,875.9,782.6,6.81,75.6,24.1,5.3,3112.4,1
Lucknow,1677.5,1276.7,6.62,62.8,18.3,3.8,3655.5,1
Guwahati,2067.1,1601.2,7.39,70.9,26.4,7.5,4778.4,1
Varanasi,733.5,500.4,7.93,63.0,22.1,4.7,2311.5,0
Patna,2258.0,1736.9,3.57,69.0,26.1,9.1,3496.3,1
Surat,2296.2,1779.9,5.07,79.4,23.8,6.1,4382.2,1
Surat,1830.5,878.4,7.2,66.2,25.4,1.2,2812.5,0
Varanasi,1236.0,680.0,5.96,59.9,24.7,1.0,1813.8,0
Patna,1163.4,530.3,8.55,68.0,32.9,0.0,2096.7,0
Patna,2466.9,1676.0,6.26,64.1,28.8,7.4,5074.8,1
Kochi,817.7,690.2,9.98,57.9,33.3,4.0,2415.9,0
Kochi,2491.9,1804.9,3.95,74.7,29.2,6.8,4625.5,1
Guwahati,1692.6,1142.7,7.72,70.2,32.7,1.4,3027.2,0
Guwahati,1737.7,1506.0,7.15,70.6,27.8,4.7,4060.4,0
Patna,689.7,363.8,9.25,57.5,35.4,4.1,2195.2,0
Surat,1704.6,824.3,6.53,61.0,30.9,4.2,1852.0,0
Kochi,2198.8,1897.1,4.03,79.0,25.9,8.4,4934.0,1
Kochi,931.3,797.5,7.8,63.7,31.5,9.5,2971.1,0
Lucknow,2124.1,1608.7,5.96,64.3,29.1,6.5,3466.5,1
Patna,1857.9,1041.7,6.53,58.9,28.2,0.0,2477.1,0
Kolkata,1381.6,1224.6,8.15,75.2,29.4,2.2,2672.6,0
Lucknow,2355.5,1871.3,4.82,67.6,32.0,7.4,4900.2,1
Guwahati,368.5,277.6,6.79,59.2,20.5,1.0,1229.7,0
Kochi,2025.3,1114.6,6.73,73.2,27.6,3.7,3430.9,1
Guwahati,2852.6,1942.3,5.63,75.8,31.7,6.7,5003.6,1
Patna,2736.0,2243.9,4.79,70.8,30.0,6.6,4949.9,1
Kochi,2053.4,1718.9,5.98,64.5,24.5,7.0,4869.7,1
Guwahati,1603.9,1127.0,8.59,76.4,19.5,6.9,4621.2,1
Kurnool,1386.7,950.3,6.12,57.4,35.8,6.9,3769.4,1
Surat,1603.1,1224.7,6.26,62.8,28.3,7.8,4217.6,1
Lucknow,2153.5,1481.0,7.85,70.6,35.1,3.5,3802.0,1
Kochi,1275.3,813.6,5.49,61.1,32.2,2.9,2417.0,1
Varanasi,2292.3,1119.7,6.91,68.6,25.8,3.4,3002.8,0
Kochi,3186.6,1614.7,7.2,60.8,19.0,7.0,4646.8,1
Kolkata,1759.8,1394.0,7.68,66.4,27.2,4.9,3441.0,0
Patna,926.1,427.0,9.26,62.9,28.9,1.1,1788.3,0
Chennai,925.9,438.5,9.26,63.1,30.8,4.5,1863.5,0
Lucknow,2304.8,1975.4,3.88,69.5,24.6,7.4,4552.4,1
Kurnool,1761.2,1350.5,7.95,61.1,29.7,5.1,3576.7,1
Kolkata,2369.9,1071.0,5.75,66.0,29.7,4.7,3793.0,0
Kochi,1453.1,858.0,6.3,54.9,32.9,4.5,2935.0,0
Surat,2339.9,1856.7,5.72,79.5,27.8,8.1,3692.0,1
Bhubaneswar,1697.1,1082.6,6.51,65.8,30.8,7.0,3322.5,0
Bhubaneswar,1323.9,875.0,7.75,58.7,30.2,0.6,2808.3,0
Kurnool,1539.4,1010.5,7.69,57.8,32.5,4.3,3016.8,0
Varanasi,1021.9,552.8,10.0,56.2,25.7,1.8,2220.4,0
Bhubaneswar,3093.1,2396.0,4.55,67.3,16.7,8.1,5924.2,1
Kolkata,1737.4,862.3,6.87,65.8,28.1,4.6,2982.6,0
Surat,2218.9,1505.0,6.84,63.8,28.1,8.0,4488.7,1
Bhubaneswar,1451.0,763.9,6.86,64.3,24.4,1.6,2106.9,0
Surat,1116.2,525.7,9.31,63.0,23.0,5.3,2608.3,0
Varanasi,1648.0,847.8,7.65,68.5,26.7,0.2,2963.7,0
Varanasi,2515.8,2116.3,5.15,75.7,28.5,8.8,5824.9,1
Kolkata,1461.5,773.5,5.79,68.8,29.4,1.0,2356.5,0
Chennai,1234.2,710.0,5.42,69.7,19.9,1.3,1895.3,0
Lucknow,1901.1,973.6,5.64,65.4,22.0,3.6,3365.5,0
Kochi,2124.4,1659.1,7.66,71.9,33.5,5.2,4207.6,1
Surat,2867.9,1865.4,4.01,68.6,28.2,1.0,4505.9,1
Lucknow,2029.9,1775.5,6.28,65.2,29.0,7.7,5219.2,1
Kurnool,2218.6,1661.6,5.03,77.7,23.7,7.6,5095.5,1
Lucknow,2267.5,1562.6,5.7,72.8,29.0,5.3,4655.9,1
Kurnool,1050.5,783.2,7.68,66.2,27.5,2.4,2880.7,0
Chennai,1173.8,549.6,10.0,56.4,26.5,1.2,1436.2,0
Surat,1095.5,961.6,7.97,73.5,23.2,0.1,2194.6,0
Surat,934.1,822.4,8.06,61.1,25.5,0.0,1731.3,0
Surat,2317.0,1330.6,7.91,62.2,36.9,6.4,3390.5,0
Surat,1988.5,1457.1,5.5,64.8,27.6,7.4,4921.9,1
Surat,1851.7,1001.5,8.41,73.5,32.2,4.8,2787.0,0
Surat,300.0,208.9,10.0,50.2,28.2,1.5,907.3,0
Chennai,3136.1,2499.0,4.82,73.1,27.8,10.6,6550.2,1
Lucknow,1218.7,1063.8,6.92,82.0,26.5,5.3,3051.0,1
Chennai,3133.7,1888.5,4.74,77.8,34.4,5.3,5736.7,1
Bhubaneswar,858.0,653.9,7.06,56.5,30.5,2.8,2205.3,0
Varanasi,1271.9,982.4,6.39,57.4,25.8,3.0,3102.5,0
Kolkata,368.1,202.3,8.03,46.8,27.4,0.2,872.0,0
Guwahati,2035.4,1492.1,6.52,69.1,33.3,7.7,3743.3,1
Lucknow,1084.2,807.7,7.42,66.7,17.6,6.1,2691.4,0
Patna,1102.5,875.2,7.99,72.0,30.2,0.0,2088.2,0
Guwahati,907.9,817.1,8.19,51.0,31.2,2.5,2274.7,0
Lucknow,2305.3,1079.1,5.89,56.8,26.0,3.3,2497.8,0
Kurnool,2262.5,1224.1,5.53,65.4,29.6,6.8,3868.7,1
Varanasi,2977.8,1534.4,5.77,85.6,31.0,2.7,3746.3,1
Lucknow,1354.3,703.5,7.05,66.7,24.1,0.0,1449.6,0
Kolkata,1942.2,1271.0,5.65,68.7,32.4,6.2,3880.0,0
Bhubaneswar,961.9,813.2,9.52,55.0,30.2,4.9,3153.2,0
Varanasi,1582.2,1031.5,5.48,51.6,28.4,0.2,3156.1,0
Guwahati,1462.8,1098.3,9.24,65.2,29.4,3.7,2256.4,0
Varanasi,2101.9,1302.0,6.87,66.2,31.8,7.8,3784.5,1
Guwahati,2461.1,1461.5,7.28,66.6,38.3,3.1,3259.1,1
Kochi,2444.2,2017.5,5.89,71.0,31.4,7.5,5071.9,1
Guwahati,1252.2,932.9,8.07,59.0,32.2,4.4,3562.1,0
Surat,2449.0,1488.8,7.96,62.6,29.8,2.5,3493.5,0
Lucknow,1771.3,1525.8,4.85,77.2,36.6,4.4,3884.5,1
Patna,1589.0,1071.5,6.9,59.4,23.1,0.5,2457.2,0
Varanasi,1339.5,716.2,6.94,59.8,22.1,2.3,3011.5,0
Bhubaneswar,1436.0,958.5,5.46,63.4,29.6,1.9,1832.3,0
Bhubaneswar,2932.5,2210.0,3.77,79.3,31.6,8.4,5566.1,1
Kolkata,1999.8,1230.3,8.77,61.0,18.7,5.7,3355.6,0
Surat,1913.5,1587.6,5.71,75.2,29.0,8.5,3992.8,1
Kochi,1629.5,1124.2,9.14,61.7,28.3,8.7,4313.1,1
Kolkata,3389.9,2239.0,6.72,74.3,32.0,8.5,5132.3,1
Chennai,2648.3,2215.1,7.78,84.9,30.7,7.4,5490.4,1
Bhubaneswar,1331.3,876.4,9.61,57.1,21.8,2.4,2637.2,0
Patna,1622.2,1032.5,9.76,68.7,24.7,1.8,2575.4,0
Patna,1660.7,824.8,7.99,68.5,25.8,3.9,2057.2,0
Guwahati,1894.8,1161.8,7.12,67.4,32.0,3.2,3210.2,0
Patna,1344.2,845.1,7.91,61.9,30.5,4.1,2508.1,0
Guwahati,2085.2,1107.8,6.99,77.8,26.5,2.1,3375.3,0
Lucknow,2743.9,1960.5,5.22,72.7,29.6,6.2,5276.0,1
Kurnool,946.1,487.0,9.22,60.6,24.8,2.6,2769.8,0
Bhubaneswar,1066.7,587.4,7.66,58.3,37.2,1.9,2126.7,0
Kolkata,1485.9,1043.9,5.62,65.4,31.3,0.0,2914.7,0
Lucknow,1516.1,865.7,7.94,68.6,32.1,3.1,2587.5,0
Surat,3099.0,2286.6,3.56,74.1,34.5,6.7,6402.3,1
Kurnool,2451.1,1864.6,4.63,59.2,33.1,9.1,5254.7,1
Varanasi,2413.8,1413.5,6.14,70.9,29.1,7.1,4150.9,1
Kurnool,1628.2,796.7,7.29,55.7,28.3,0.0,2450.3,0
Bhubaneswar,1613.9,1081.7,8.27,69.2,34.2,5.5,3151.8,0
Bhubaneswar,856.4,421.2,8.36,58.8,29.1,2.3,1634.8,0
Guwahati,2308.1,1573.8,7.21,74.9,26.0,2.7,4176.9,1
Lucknow,2119.2,1646.2,6.0,64.2,36.9,7.7,4982.6,1
Guwahati,2635.9,1922.0,5.05,69.2,25.3,4.4,5026.8,1
Patna,1663.0,1083.8,7.22,62.8,22.1,6.2,3464.8,0
Varanasi,1707.8,1495.4,4.69,59.7,33.0,4.1,4095.1,1
Kolkata,1910.5,947.2,7.73,70.2,26.1,0.4,2936.7,0
Patna,2379.7,2013.3,5.88,63.5,30.7,11.5,5370.6,1
Kolkata,844.4,684.0,9.04,67.8,36.3,0.0,2031.7,0
Kolkata,2278.4,1455.7,4.72,70.7,23.5,3.7,2695.1,1
Lucknow,1786.7,926.9,5.73,62.2,28.8,2.1,3021.2,0
Guwahati,1111.9,578.3,7.6,62.3,34.9,1.2,1670.1,0
Patna,445.0,384.8,10.0,60.4,31.7,2.8,1525.3,0
Bhubaneswar,1711.3,950.1,7.59,61.2,28.3,3.6,2888.3,0
Kolkata,2741.0,2311.6,3.41,77.7,38.6,10.4,6454.7,1
Varanasi,2888.5,1954.1,3.48,77.1,28.6,7.8,6212.9,1
Surat,2031.0,1335.9,5.72,61.4,30.6,1.5,2762.8,0
Patna,3075.3,2241.2,3.6,77.4,35.6,9.2,5600.8,1
Kolkata,1772.1,968.9,8.34,48.0,32.9,4.0,3112.9,0
Patna,2419.6,1555.3,7.09,57.5,34.3,4.4,3835.1,1
Kochi,1506.7,1314.3,5.37,70.3,25.4,8.9,4569.3,1
Kolkata,1465.5,816.6,8.48,59.9,33.9,4.2,2703.8,0
Chennai,1359.6,1175.7,7.55,60.5,29.7,6.1,4007.5,0
Patna,460.7,413.4,7.27,58.4,26.0,3.5,1858.8,0
Kurnool,2636.6,1248.1,6.58,63.9,29.9,3.7,3706.3,0
Surat,1382.9,953.0,7.72,57.7,29.8,4.7,2698.9,0
Kolkata,1279.1,674.5,8.15,51.3,36.5,3.1,3158.1,0
Surat,1033.0,753.9,5.91,50.0,30.5,1.6,1671.2,0
Bhubaneswar,1667.2,1492.6,6.26,73.0,25.9,3.0,3559.4,1
Patna,2946.3,2514.9,4.5,75.2,25.0,9.2,5858.0,1
Lucknow,3161.0,2738.0,5.04,85.6,28.8,11.1,7379.8,1
Lucknow,720.4,393.4,7.87,56.0,23.6,1.5,1898.8,0
Bhubaneswar,1569.6,1089.4,6.43,67.0,26.1,3.6,2703.5,0
Lucknow,1127.7,626.6,7.85,59.9,28.0,2.3,2605.8,0
Chennai,2442.4,2087.6,5.09,74.2,27.3,7.0,5117.1,1
Kochi,1986.3,1064.7,7.2,65.2,31.9,7.0,3706.1,1
Lucknow,1386.2,719.8,8.53,58.8,26.0,3.1,2722.4,0
Varanasi,1847.2,841.3,6.36,55.2,19.1,2.1,2465.5,0
Varanasi,1489.7,792.3,8.14,66.8,22.3,0.0,2590.1,0
Patna,2849.3,1525.5,5.23,78.4,28.9,5.1,4104.1,1
Bhubaneswar,2155.5,1045.2,6.98,74.4,26.7,2.6,3132.7,0
Kurnool,2235.4,1878.8,7.12,68.7,24.1,5.6,4741.7,1
Chennai,300.0,240.3,7.42,52.8,36.8,2.8,816.0,0
Chennai,1756.6,991.6,6.95,60.7,32.3,3.8,2985.8,0
Kochi,3154.1,2531.0,2.37,76.9,28.8,5.8,5703.1,1
Kolkata,2662.0,1703.6,5.81,70.1,29.9,7.4,5312.6,1
Varanasi,599.4,478.9,9.57,53.4,27.9,0.0,1116.4,0
Kurnool,1596.3,950.3,7.53,54.7,24.0,4.8,3580.2,0
Patna,1019.0,717.5,7.75,61.8,33.1,1.6,2217.9,0
Patna,2912.2,1810.6,6.86,50.2,32.4,6.7,5029.6,1
Varanasi,1958.8,1046.9,7.49,63.9,21.1,3.7,2581.6,0
Chennai,1300.9,928.3,8.3,57.7,29.9,3.1,2715.4,0
Lucknow,1822.2,1435.7,7.04,72.7,30.3,5.6,3792.8,1
Varanasi,300.0,236.7,5.8,63.4,27.7,1.0,2189.9,0
Lucknow,1094.8,668.2,7.9,67.5,37.4,6.2,2466.2,0
Kurnool,1823.7,1246.3,5.49,64.2,37.0,5.0,4100.4,1
Guwahati,2349.7,1864.9,4.36,65.1,27.5,7.3,5494.0,1
Kochi,538.1,255.4,10.0,52.4,28.1,0.0,1715.4,0
Kochi,1552.2,748.7,7.39,63.5,27.6,3.5,2327.1,0
Lucknow,2456.3,1521.2,8.14,58.9,26.6,3.5,4675.8,1
Guwahati,856.6,471.6,6.88,67.6,25.3,4.0,2934.8,0
Kochi,1949.0,1205.6,5.58,63.9,31.0,1.4,3284.9,0
Patna,1842.9,907.0,8.28,66.2,36.8,1.6,2438.4,0
Guwahati,2914.3,2087.8,4.4,63.2,35.2,4.3,4730.7,1
Guwahati,1650.4,1241.6,7.03,60.7,32.2,5.3,3864.1,0
Guwahati,1688.5,1361.5,6.29,55.9,19.4,4.1,3766.8,1
Chennai,2355.7,1749.7,5.38,77.0,21.5,7.7,4947.9,1
Surat,937.9,589.3,7.83,59.4,33.3,0.2,1343.7,0
Surat,1656.4,1442.3,6.43,71.5,35.5,6.3,4163.9,1
Surat,1503.8,1168.2,7.56,66.0,31.2,5.4,4007.4,0
Lucknow,1709.7,1175.3,8.61,68.5,27.8,4.7,3803.6,0
Varanasi,2351.5,1277.0,6.39,64.5,34.4,4.7,3495.7,0
Chennai,2160.2,1603.0,5.44,68.3,32.0,6.1,4371.6,1
Bhubaneswar,1313.4,940.7,6.79,63.0,33.5,1.6,2096.4,0
Lucknow,1888.9,1430.8,7.88,70.4,21.6,3.0,3473.4,1
Bhubaneswar,2768.8,2219.2,5.23,77.7,30.4,9.1,5754.0,1
Guwahati,1259.6,1085.5,4.95,81.7,36.1,3.2,3390.7,1
Kolkata,1894.4,1661.5,3.6,80.1,31.1,6.9,4339.4,1
Guwahati,1674.4,1228.3,5.81,55.5,32.8,7.6,3502.9,0
Surat,1759.0,1556.2,6.23,68.2,29.1,4.7,4471.1,1
Bhubaneswar,740.1,636.6,8.02,58.3,29.4,1.1,1909.5,0
Surat,2717.0,1225.8,7.29,73.8,34.6,3.8,3126.1,1
Patna,1296.7,955.6,7.14,61.8,26.3,3.5,3269.8,1
Kolkata,2466.9,1308.2,8.07,69.6,25.9,6.0,4054.6,1
Kurnool,1396.1,813.7,8.51,48.3,27.1,2.9,2528.6,0
Patna,1393.4,813.6,7.74,53.3,29.1,7.1,2976.5,0
Kolkata,2588.5,1727.6,6.85,83.2,22.6,7.1,4913.7,1
Lucknow,2446.0,1112.7,5.17,65.4,31.9,5.6,3689.5,1
Kurnool,1935.6,1076.4,6.97,58.8,28.3,3.8,3280.3,0
Lucknow,2294.7,1062.7,7.24,66.1,32.4,5.9,3466.0,1
Kolkata,1612.4,1197.6,7.45,59.5,20.5,3.9,3184.6,0
Kurnool,1794.6,1525.7,4.16,67.1,32.4,4.2,3836.3,1
Surat,1369.9,1231.6,6.42,57.4,34.3,6.3,3700.9,1
Surat,2387.6,1556.4,6.42,64.4,30.8,5.5,3880.0,1
Guwahati,1349.3,765.1,8.29,59.4,29.1,3.3,2137.5,0
Patna,2765.4,2306.0,5.58,82.6,32.5,10.3,6153.2,1
Guwahati,1594.7,798.8,8.53,65.0,34.1,3.2,3014.3,0
Guwahati,1813.3,1611.0,5.78,73.4,31.1,5.5,3535.2,1
Surat,2293.2,1769.6,6.24,70.9,31.4,5.3,4469.6,1
Surat,1815.5,1228.7,6.5,71.1,35.6,6.6,3909.7,0
Patna,1606.4,792.7,7.87,56.9,32.0,2.2,2918.5,0
Patna,1780.5,815.8,8.53,58.0,25.8,2.9,3330.8,0
Guwahati,2381.0,1654.9,5.7,72.4,34.1,6.6,4464.0,1
Lucknow,1369.1,871.1,7.93,61.2,28.5,3.7,3603.6,0
Patna,1717.9,1424.5,7.33,67.8,29.1,7.2,4409.0,1
Kolkata,1806.7,1335.2,7.26,66.1,29.4,4.7,4092.8,1
Chennai,2362.0,1521.9,7.41,76.3,32.9,8.3,4105.4,1
Varanasi,1735.1,957.3,9.89,71.5,36.0,3.0,3060.9,0
